image_name,Label_Sentiment
TAN(40).jpg,negative
MAMN (615).jpg,neutral
KAM (597).jpg,positive
KAM(968).jpg,negative
TAN(41).jpg,negative
MAMN (2002).jpg,neutral
MAMN (657).jpg,neutral
MAMN (1876).jpg,neutral
MAMN (1584).jpg,neutral
TAN(42).jpg,negative
KAM (81).jpg,negative
TAN(43).jpg,negative
TAN(44).jpg,positive
TAN(45).jpg,negative
KAM(885).jpg,negative
KAM(320).jpg,negative
TAN(46).jpg,positive
TAN(47).jpg,positive
TAN(48).jpg,negative
TAN(49).jpg,negative
KAM (200).jpg,positive
TAN(50).jpg,positive
KAM (585).jpg,negative
TAN(51).jpg,negative
KAM(248).jpg,positive
TAN(52).jpg,negative
TAN(53).jpg,negative
KAM(1212).jpg,positive
TAN(54).jpg,negative
TAN(55).jpg,positive
KAM (155).png,positive
TAN(56).jpg,negative
KAM(227).jpg,positive
TAN(57).jpg,negative
MAMN (2091).jpg,neutral
MAMN (1178).jpg,neutral
KAM(684).jpg,positive
MAMN (1617).jpg,neutral
MAMN (1127).jpg,neutral
KAM (102).jpg,positive
TAN(58).jpg,negative
TAN(59).jpg,negative
TAN(60).jpg,negative
MAMN (1152).jpg,neutral
TAN(61).jpg,negative
KAM(478).jpg,negative
KAM(463).jpg,positive
TAN(62).jpg,negative
MAMN (2029).jpg,neutral
MAMN (1173).jpg,neutral
KAM (137).jpg,positive
MAMN (1215).jpg,neutral
TAN(63).jpg,positive
KAM(490).jpg,negative
TAN(64).jpg,positive
KAM (292).jpg,positive
TAN(65).jpg,negative
KAM(580).jpg,negative
KAM(813).jpg,negative
TAN(66).jpg,negative
TAN(67).jpg,negative
MAMN (1676).jpg,neutral
MAMN (1138).jpg,neutral
KAM (581).jpg,negative
MAMN (1698).jpg,neutral
MAMN (1983).jpg,neutral
TAN(68).jpg,negative
MAMN (399).jpg,neutral
TAN(69).jpg,negative
MAMN (1542).jpg,neutral
KAM(864).jpg,positive
TAN(70).jpg,negative
KAM (701).jpg,positive
MAMN (1514).jpg,neutral
KAM(153).jpg,negative
KAM (77).jpg,positive
TAN(71).jpg,negative
KAM(282).jpg,negative
KAM (51).png,positive
KAM(1338).jpg,positive
TAN(72).jpg,negative
KAM(1379).jpg,positive
MAMN (826).jpg,neutral
KAM (725).jpg,negative
MAMN (811).jpg,neutral
MAMN (464).jpg,neutral
KAM(948).jpg,negative
TAN(73).jpg,neutral
KAM (605).jpg,positive
TAN(74).jpg,negative
MAMN (1719).jpg,neutral
TAN(75).jpg,negative
KAM(1124).jpg,positive
KAM (523).jpg,positive
KAM (686).jpg,positive
KAM (626).jpg,negative
MAMN (1605).jpg,neutral
MAMN (2077).jpg,neutral
TAN(76).jpg,negative
KAM (610).jpg,negative
MAMN (1815).jpg,neutral
MAMN (1726).jpg,neutral
TAN(77).jpg,positive
MAMN (1309).jpg,neutral
TAN(78).jpg,positive
KAM(599).jpg,positive
TAN(79).jpg,negative
TAN(80).jpg,negative
MAMN (384).jpg,neutral
KAM(521).jpg,positive
MAMN (1237).jpg,neutral
TAN(81).jpg,positive
MAMN (1844).jpg,neutral
MAMN (1703).jpg,neutral
KAM(591).jpg,positive
KAM(585).jpg,negative
TAN(82).jpg,negative
TAN(83).jpg,neutral
TAN(84).jpg,negative
TAN(85).jpg,negative
MAMN (985).jpg,neutral
TAN(86).jpg,negative
KAM (247).png,positive
MAMN (1678).jpg,neutral
TAN(87).jpg,neutral
MAMN (1011).jpg,neutral
MAMN (479).jpg,neutral
TAN(88).jpg,positive
MAMN (2120).jpg,neutral
TAN(89).jpg,negative
KAM(205).png,positive
KAM(249).jpg,positive
KAM(988).jpg,positive
MAMN (446).jpg,neutral
KAM (227).png,negative
KAM(584).jpg,negative
KAM(759).jpg,negative
TAN(90).jpg,negative
TAN(91).jpg,negative
TAN(92).jpg,negative
TAN(93).jpg,negative
KAM (130).jpg,negative
TAN(94).jpg,negative
MAMN (723).jpg,neutral
TAN(95).jpg,negative
KAM (401).jpg,positive
MAMN (667).jpg,neutral
KAM (707).jpg,positive
TAN(96).jpg,positive
KAM(301).jpg,negative
TAN(97).jpg,negative
TAN(98).jpg,negative
MAMN (1263).jpg,neutral
KAM (15).jpg,positive
KAM(1101).jpg,positive
MAMN (2).png,neutral
TAN(99).jpg,negative
TAN(100).jpg,negative
KAM(372).jpg,positive
TAN(101).jpg,negative
TAN(102).jpg,neutral
TAN(103).jpg,negative
KAM(728).jpg,negative
MAMN (2070).jpg,neutral
KAM(390).jpg,positive
TAN(104).jpg,negative
KAM (323).jpg,positive
TAN(105).jpg,negative
TAN(106).jpg,negative
TAN(107).jpg,positive
TAN(108).jpg,negative
KAM(1063).jpg,positive
TAN(109).jpg,negative
TAN(110).jpg,negative
KAM(978).jpg,negative
MAMN (871).jpg,neutral
MAMN (690).jpg,neutral
KAM (34).jpg,positive
KAM (595).jpg,positive
KAM (670).jpg,positive
MAMN (501).jpg,neutral
KAM(1182).jpg,positive
KAM (467).jpg,positive
KAM (738).jpg,positive
TAN(111).jpg,negative
TAN(112).jpg,negative
TAN(113).jpg,negative
MAMN (1049).jpg,neutral
MAMN (890).jpg,neutral
KAM (205).png,positive
MAMN (1360).jpg,neutral
MAMN (1961).jpg,neutral
KAM (572).jpg,positive
KAM (95).jpg,positive
KAM(226).png,positive
KAM(1096).jpg,positive
TAN(114).jpg,negative
KAM (210).png,positive
KAM (444).jpg,negative
TAN(115).jpg,negative
TAN(116).jpg,negative
KAM(88).jpg,positive
TAN(117).jpg,negative
MAMN (930).jpg,neutral
MAMN (2106).jpg,neutral
MAMN (794).jpg,neutral
TAN(118).jpg,neutral
KAM(1054).jpg,positive
MAMN (291).jpg,neutral
TAN(119).jpg,negative
KAM(1192).jpg,positive
KAM(235).png,positive
MAMN (2078).jpg,neutral
TAN(120).jpg,positive
TAN(121).jpg,negative
KAM(310).jpg,positive
MAMN (1722).jpg,neutral
TAN(122).jpg,negative
TAN(123).jpg,negative
TAN(124).jpg,negative
MAMN (504).jpg,neutral
TAN(125).jpg,negative
TAN(126).jpg,negative
KAM(414).jpg,negative
TAN(127).jpg,negative
TAN(128).jpg,negative
MAMN (1648).jpg,neutral
KAM (637).jpg,positive
TAN(129).jpg,negative
MAMN (1631).jpg,neutral
MAMN (1908).jpg,neutral
MAMN (318).jpg,neutral
KAM(476).jpg,positive
TAN(130).jpg,negative
MAMN (72).png,neutral
MAMN (1528).jpg,neutral
MAMN (573).jpg,neutral
MAMN (429).jpg,neutral
TAN(131).jpg,positive
TAN(132).jpg,negative
MAMN (1294).jpg,neutral
MAMN (689).jpg,neutral
KAM(1047).jpg,negative
MAMN (502).jpg,neutral
KAM(136).jpg,positive
KAM(619).jpg,positive
KAM (436).jpg,positive
KAM (366).jpg,positive
KAM(1172).jpg,positive
KAM(102).png,positive
KAM(1173).jpg,positive
TAN(133).jpg,negative
TAN(134).jpg,negative
TAN(135).jpg,negative
MAMN (2105).jpg,neutral
MAMN (702).jpg,neutral
MAMN (1459).jpg,neutral
TAN(136).jpg,negative
KAM (153).png,positive
KAM(316).jpg,positive
TAN(137).jpg,neutral
TAN(138).jpg,negative
MAMN (874).jpg,neutral
KAM(1348).jpg,positive
TAN(139).jpg,negative
TAN(140).jpg,negative
TAN(141).jpeg,negative
KAM(969).jpg,positive
TAN(142).jpg,negative
KAM(80).jpg,negative
TAN(143).jpg,positive
KAM(15).jpg,positive
MAMN (1476).jpg,neutral
TAN(144).jpg,negative
TAN(145).jpg,negative
TAN(146).jpg,neutral
KAM(752).jpg,positive
MAMN (1147).jpg,neutral
KAM (502).jpg,positive
MAMN (518).jpg,neutral
MAMN (1074).jpg,neutral
TAN(147).jpg,negative
TAN(148).png,negative
TAN(149).jpg,negative
KAM(444).jpg,negative
KAM(643).jpg,positive
KAM(1120).jpg,positive
TAN(150).jpg,neutral
TAN(151).jpg,negative
MAMN (676).jpg,neutral
KAM (374).jpg,positive
KAM(1208).jpg,positive
MAMN (450).jpg,neutral
KAM (418).jpg,negative
MAMN (1874).jpg,neutral
TAN(152).jpg,neutral
MAMN (1529).jpg,neutral
KAM(125).png,negative
KAM (795).jpg,positive
MAMN (535).jpg,neutral
KAM(944).jpg,negative
KAM(144).jpg,positive
MAMN (1637).jpg,neutral
KAM(175).png,negative
TAN(153).jpg,negative
KAM(714).jpg,positive
KAM(770).jpg,positive
TAN(154).jpg,negative
TAN(155).jpg,negative
KAM(1116).jpg,negative
TAN(156).jpg,negative
MAMN (1387).jpg,neutral
TAN(157).jpg,negative
MAMN (597).jpg,neutral
KAM(1149).jpg,negative
TAN(158).jpg,positive
TAN(159).jpg,negative
MAMN (1563).jpg,neutral
MAMN (418).jpg,neutral
KAM(33).jpg,positive
MAMN (1762).jpg,neutral
KAM(648).jpg,positive
MAMN (451).jpg,neutral
KAM (348).jpg,positive
TAN(160).jpg,negative
MAMN (587).jpg,neutral
MAMN (459).jpg,neutral
MAMN (1862).jpg,neutral
MAMN (1937).jpg,neutral
TAN(161).jpg,negative
KAM (769).jpg,positive
TAN(162).jpg,positive
KAM(1087).jpg,positive
TAN(163).jpg,negative
MAMN (301).jpg,neutral
TAN(164).jpg,negative
MAMN (894).jpg,neutral
TAN(165).jpg,negative
TAN(166).jpg,negative
KAM(227).png,negative
MAMN (1348).jpg,neutral
TAN(167).jpg,negative
KAM (222).png,negative
KAM (611).jpg,positive
MAMN (678).jpg,neutral
TAN(168).jpg,negative
KAM(427).jpg,positive
MAMN (2038).jpg,neutral
KAM(546).jpg,positive
TAN(169).jpg,negative
MAMN (1731).jpg,neutral
TAN(170).jpg,negative
TAN(171).jpg,negative
KAM(982).jpg,positive
KAM(1065).jpg,positive
TAN(172).jpg,negative
MAMN (1694).jpg,neutral
TAN(173).jpg,negative
MAMN (1149).jpg,neutral
KAM(105).png,negative
TAN(174).jpg,positive
KAM(10).jpg,negative
TAN(175).jpg,negative
TAN(176).jpg,negative
MAMN (651).jpg,neutral
KAM(824).jpg,positive
KAM(429).jpg,positive
KAM(1276).jpg,positive
KAM(30).jpg,positive
MAMN (1473).jpg,neutral
MAMN (1065).jpg,neutral
TAN(177).jpg,positive
MAMN (1634).jpg,neutral
MAMN (1086).jpg,neutral
KAM (178).jpg,positive
KAM (754).jpg,negative
TAN(178).jpg,negative
TAN(179).jpg,negative
TAN(180).jpg,positive
MAMN (1171).jpg,neutral
MAMN (1334).jpg,neutral
MAMN (1480).jpg,neutral
MAMN (772).jpg,neutral
MAMN (1793).jpg,neutral
KAM(27).png,negative
KAM(48).jpg,negative
TAN(181).jpg,negative
TAN(182).jpg,negative
KAM (218).png,negative
TAN(183).jpg,negative
TAN(184).jpg,negative
KAM(275).jpg,positive
MAMN (1716).jpg,neutral
KAM(1377).jpg,positive
MAMN (1610).jpg,neutral
KAM(1061).jpg,positive
KAM (586).jpg,positive
KAM(492).jpg,positive
KAM (652).jpg,positive
KAM(666).jpg,positive
TAN(185).jpg,neutral
TAN(186).jpg,negative
KAM (233).jpg,positive
TAN(187).jpg,negative
MAMN (1847).jpg,neutral
KAM(1133).jpg,positive
TAN(188).jpg,negative
MAMN (1573).jpg,neutral
TAN(189).jpg,negative
MAMN (1424).jpg,neutral
TAN(190).jpg,negative
TAN(191).jpg,negative
KAM (294).jpg,positive
TAN(192).jpg,negative
KAM(1024).jpg,positive
KAM(381).jpg,positive
TAN(193).jpg,neutral
KAM(1198).jpg,positive
KAM(197).jpg,positive
TAN(194).jpg,negative
TAN(195).jpg,negative
TAN(196).jpg,negative
KAM(1238).jpg,positive
TAN(197).jpg,negative
KAM (560).jpg,positive
KAM(1186).jpg,positive
TAN(198).jpg,negative
MAMN (797).jpg,neutral
TAN(199).jpg,negative
KAM(1389).jpg,positive
KAM (709).jpg,negative
TAN(200).jpg,neutral
TAN(201).jpg,negative
TAN(202).jpg,positive
MAMN (610).jpg,neutral
TAN(203).jpg,negative
KAM(1267).jpg,positive
KAM(1098).jpg,positive
MAMN (1541).jpg,neutral
TAN(204).jpg,negative
KAM (293).jpg,negative
TAN(205).jpg,negative
MAMN (1307).jpg,neutral
MAMN (568).jpg,neutral
KAM(337).jpg,positive
MAMN (344).jpg,neutral
TAN(206).jpg,positive
TAN(207).jpg,negative
KAM(143).jpg,positive
KAM(1382).jpg,positive
TAN(208).jpg,negative
TAN(209).jpg,negative
TAN(210).jpg,negative
TAN(211).jpg,negative
KAM(426).jpg,negative
TAN(212).jpg,negative
TAN(213).jpg,neutral
KAM (635).jpg,positive
MAMN (1546).jpg,neutral
TAN(214).jpg,negative
TAN(215).jpg,negative
TAN(216).jpg,neutral
TAN(217).jpg,negative
KAM(609).jpg,positive
TAN(218).jpg,negative
TAN(219).jpg,negative
KAM(40).png,negative
TAN(220).jpg,positive
KAM (115).png,negative
kiwi (346).jpg,negative
KAM (196).jpg,negative
MAMN (21).png,neutral
KAM (762).jpg,positive
yellow (27).jpg,negative
KAM(776).jpg,positive
KAM(959).jpg,positive
KAM(1015).jpg,positive
grape (72).jpg,neutral
KAM(1082).jpg,positive
meme55.jpg,negative
MAMN (485).jpg,neutral
avocados (399).jpg,negative
MAMN (611).jpg,neutral
MAMN (864).jpg,neutral
osage (365).jpg,negative
MAMN (539).jpg,neutral
MAMN (486).jpg,neutral
osage (21).jpg,negative
MAMN (2089).jpg,neutral
MAMN (529).jpg,neutral
kiwi (287).jpg,neutral
MAMN (1776).jpg,neutral
KAM (422).jpg,negative
KAM (94).png,positive
MAMN (886).jpg,neutral
osage (206).jpg,negative
KAM(1206).jpg,negative
MAMN (870).jpg,neutral
KAM(1352).jpg,positive
dirty (70).jpg,negative
kiwi (78).jpg,positive
KAM (232).png,positive
KAM (734).jpg,positive
grape (318).jpg,negative
avocados (250).jpg,negative
avocados (7).jpg,negative
apple (44).jpg,positive
KAM (566).jpg,positive
kiwi (181).jpg,negative
KAM(127).jpg,negative
avocados (719).jpg,negative
MAMN (1773).jpg,neutral
KAM(1127).jpg,positive
KAM(1069).jpg,positive
KAM (212).png,positive
kiwi (223).jpg,negative
osage (372).jpg,negative
papaya (100).jpg,negative
violance (56).jpg,negative
MAMN (760).jpg,neutral
grape (204).jpg,neutral
avocados (139).jpg,negative
KAM (197).png,negative
KAM (100).jpg,positive
osage (199).jpg,negative
MAMN (625).jpg,neutral
KAM(306).jpg,negative
MAMN (793).jpg,neutral
MAMN (1027).jpg,neutral
KAM(967).jpg,negative
grape (123).jpg,negative
MAMN (435).jpg,neutral
KAM(87).jpg,positive
KAM(186).png,negative
KAM (79).png,positive
KAM(1183).jpg,positive
apple (218).jpg,negative
dirty (97).jpg,negative
KAM(79).png,positive
KAM (102).png,positive
yellow (249).jpg,negative
KAM (62).jpg,positive
MAMN (26).png,neutral
KAM(32).jpg,negative
kiwi (295).jpg,negative
yellow (260).jpg,neutral
MAMN (1349).jpg,neutral
MAMN (416).jpg,neutral
MAMN (443).jpg,neutral
MAMN (1039).jpg,neutral
dirty (98).jpg,negative
avocados (95).jpg,negative
osage (380).jpg,negative
MAMN (507).jpg,neutral
KAM(1105).jpg,positive
MAMN (549).jpg,neutral
KAM(519).jpg,positive
grape (64).jpg,neutral
osage (24).jpg,neutral
KAM(215).jpg,positive
KAM(522).jpg,negative
yellow (146).jpg,negative
KAM (14).png,positive
MAMN (379).jpg,neutral
avocados (294).jpg,negative
KAM (330).jpg,positive
MAMN (1830).jpg,neutral
dirty (54).jpg,negative
MAMN (1224).jpg,neutral
avocados (114).jpg,negative
kiwi (239).jpg,negative
KAM(574).jpg,positive
KAM(188).jpg,positive
MAMN (666).jpg,neutral
MAMN (388).jpg,neutral
MAMN (1108).jpg,neutral
apple (201).jpg,negative
osage (266).jpg,negative
MAMN (404).jpg,neutral
KAM (301).jpg,negative
MAMN (1168).jpg,neutral
grape (62).jpg,negative
MAMN (1371).jpg,neutral
MAMN (1333).jpg,neutral
KAM (76).jpg,positive
papaya (143).jpg,negative
MAMN (601).jpg,neutral
dirty (57).jpg,negative
MAMN (333).jpg,neutral
MAMN (997).jpg,neutral
KAM(122).png,positive
KAM(96).png,positive
KAM (215).jpg,positive
MAMN (1540).jpg,neutral
MAMN (445).jpg,neutral
MAMN (1029).jpg,neutral
KAM(848).jpg,positive
yellow (331).jpg,negative
MAMN (1286).jpg,neutral
MAMN (1006).jpg,neutral
avocados (216).jpg,positive
grape (15).jpg,positive
KAM(330).jpg,positive
KAM(621).jpg,positive
MAMN (816).jpg,neutral
MAMN (1663).jpg,neutral
MAMN (783).jpg,neutral
KAM (429).jpg,positive
avocados (559).jpg,neutral
KAM (563).jpg,positive
yellow (442).jpg,negative
osage (111).jpg,negative
grape (5).jpg,positive
avocados (179).jpg,negative
MAMN (475).jpg,neutral
KAM (468).jpg,positive
KAM(657).jpg,positive
osage (400).jpg,negative
KAM(370).jpg,positive
KAM(929).jpg,positive
KAM(92).jpg,positive
osage (190).jpg,negative
avocados (651).jpg,negative
MAMN (42).png,neutral
KAM(531).jpg,negative
KAM(1358).jpg,positive
MAMN (1375).jpg,neutral
osage (179).jpg,negative
MAMN (827).jpg,neutral
KAM (494).jpg,negative
KAM(597).jpg,positive
KAM(150).png,positive
peach (58).jpg,negative
MAMN (1091).jpg,neutral
KAM(373).jpg,positive
MAMN (1812).jpg,neutral
avocados (577).jpg,neutral
avocados (259).jpg,negative
KAM(1319).jpg,positive
avocados (308).jpg,neutral
avocados (293).jpg,negative
KAM(753).jpg,positive
KAM(487).jpg,positive
KAM(844).jpg,positive
KAM(154).png,positive
KAM (171).png,positive
avocados (622).jpg,negative
KAM (5).jpg,negative
KAM (194).png,positive
KAM(107).jpg,positive
MAMN (1267).jpg,neutral
MAMN (1019).jpg,neutral
KAM(907).jpg,positive
yellow (82).jpg,negative
osage (61).jpg,positive
KAM (565).jpg,positive
KAM(446).jpg,positive
KAM (214).png,negative
KAM (8).png,negative
avocados (171).jpg,negative
grape (258).jpg,negative
KAM (405).jpg,positive
MAMN (661).jpg,neutral
MAMN (1975).jpg,neutral
KAM(220).jpg,positive
KAM(1194).jpg,positive
avocados (411).jpg,negative
MAMN (589).jpg,neutral
KAM(1275).jpg,negative
apple (49).jpg,negative
MAMN (495).jpg,neutral
KAM (383).jpg,positive
MAMN (1556).jpg,neutral
MAMN (1419).jpg,neutral
MAMN (1321).jpg,neutral
KAM (446).jpg,positive
avocados (166).jpg,negative
KAM (147).jpg,negative
MAMN (590).jpg,neutral
KAM(72).jpg,positive
yellow (552).jpg,negative
grape (210).jpg,neutral
MAMN (2062).jpg,neutral
violance (55).jpg,negative
yellow (135).jpg,negative
avocados (229).jpg,negative
osage (238).jpg,negative
KAM(846).jpg,positive
avocados (52).jpg,negative
MAMN (519).jpg,neutral
yellow (255).jpg,negative
MAMN (1331).jpg,neutral
avocados (173).jpg,negative
peach (48).jpg,positive
osage (182).jpg,negative
KAM (89).png,positive
osage (304).jpg,positive
MAMN (789).jpg,neutral
KAM(1217).jpg,positive
papaya (40).jpg,negative
MAMN (421).jpg,neutral
KAM(193).jpg,positive
MAMN (523).jpg,neutral
peach (148).jpg,negative
KAM (101).png,positive
dirty (18).jpg,negative
KAM(202).jpg,positive
KAM(12).jpg,negative
MAMN (954).jpg,neutral
avocados (233).jpg,negative
KAM(151).png,positive
MAMN (2113).jpg,neutral
osage (71).jpg,negative
KAM(194).png,positive
papaya (106).jpg,negative
kiwi (332).jpg,negative
KAM (674).jpg,positive
KAM (207).png,positive
MAMN (737).jpg,neutral
MAMN (1278).jpg,neutral
kiwi (252).jpg,negative
KAM (336).jpg,positive
MAMN (543).jpg,neutral
MAMN (835).jpg,neutral
KAM(475).jpg,negative
kiwi (200).jpg,negative
KAM(674).jpg,positive
kiwi (224).jpg,negative
KAM(950).jpg,positive
MAMN (1753).jpg,neutral
MAMN (29).png,neutral
KAM(1384).jpg,positive
KAM (114).jpg,positive
MAMN (2000).jpg,neutral
KAM (645).jpg,positive
KAM(133).png,positive
MAMN (2102).jpg,neutral
osage (135).jpg,negative
KAM(198).jpg,negative
apple (139).jpg,positive
KAM(123).jpg,positive
MAMN (897).jpg,neutral
peach (2).jpg,positive
peach (172).jpg,negative
MAMN (1859).jpg,neutral
MAMN (1389).jpg,neutral
osage (70).jpg,negative
avocados (566).jpg,positive
MAMN (1809).jpg,neutral
MAMN (342).jpg,neutral
KAM (192).png,negative
MAMN (1814).jpg,neutral
MAMN (1980).jpg,neutral
kiwi (205).jpg,positive
MAMN (1740).jpg,neutral
apple (111).jpg,positive
KAM (345).jpg,negative
KAM(1287).jpg,positive
osage (249).jpg,negative
avocados (530).jpg,negative
MAMN (971).jpg,neutral
MAMN (713).jpg,neutral
KAM(704).jpg,positive
KAM (728).jpg,negative
KAM (646).jpg,negative
avocados (590).jpg,neutral
papaya (66).jpg,positive
KAM(691).jpg,negative
KAM(157).png,positive
MAMN (1929).jpg,neutral
KAM(385).jpg,positive
osage (126).jpg,negative
KAM (41).png,positive
KAM(482).jpg,negative
yellow (79).jpg,negative
KAM (14).jpg,positive
MAMN (1593).jpg,neutral
KAM(394).jpg,positive
MAMN (1037).jpg,neutral
KAM(66).jpg,positive
osage (259).jpg,negative
MAMN (309).jpg,neutral
MAMN (1976).jpg,neutral
grape (18).jpg,positive
KAM(354).jpg,positive
dirty (114).jpg,negative
KAM(1014).jpg,positive
MAMN (643).jpg,neutral
MAMN (1902).jpg,neutral
KAM(35).jpg,negative
peach (189).jpg,negative
MAMN (1923).jpg,neutral
KAM(820).jpg,positive
MAMN (995).jpg,neutral
KAM (4).png,negative
osage (385).jpg,negative
grape (149).jpg,negative
avocados (706).jpg,negative
MAMN (979).jpg,neutral
meme85.jpeg,negative
avocados (301).jpg,neutral
KAM(1141).jpg,positive
grape (85).jpg,negative
MAMN (1213).jpg,neutral
KAM(549).jpg,positive
grape (65).jpg,positive
KAM (612).jpg,positive
dirty (110).jpg,negative
MAMN (959).jpg,neutral
MAMN (1677).jpg,neutral
avocados (395).jpg,negative
kiwi (316).jpg,positive
dirty (59).jpg,negative
apple (199).jpg,positive
osage (361).jpg,negative
apple (164).jpg,neutral
avocados (645).jpg,negative
avocados (773).jpg,negative
KAM(520).jpg,positive
MAMN (955).jpg,neutral
KAM (703).jpg,positive
MAMN (408).jpg,neutral
KAM (140).jpg,positive
papaya (135).jpg,negative
KAM (70).jpg,positive
KAM (55).png,positive
KAM (530).jpg,positive
osage (59).jpg,negative
MAMN (1582).jpg,neutral
kiwi (152).jpg,negative
kiwi (185).jpg,positive
MAMN (1318).jpg,neutral
KAM(3).jpg,positive
MAMN (1707).jpg,neutral
osage (37).jpg,negative
KAM(637).jpg,positive
kiwi (271).jpg,negative
yellow (233).jpg,negative
kiwi (338).jpg,negative
MAMN (577).jpg,neutral
KAM (246).png,positive
KAM(112).jpg,negative
KAM(308).jpg,positive
KAM(52).jpg,negative
MAMN (1180).jpg,neutral
KAM(729).jpg,positive
grape (328).jpg,neutral
kiwi (135).jpg,negative
avocados (484).jpg,negative
KAM(84).jpg,positive
MAMN (904).jpg,neutral
MAMN (1682).jpg,neutral
KAM(172).png,positive
MAMN (2088).jpg,neutral
KAM(1237).jpg,positive
yellow (55).jpg,negative
KAM(1365).jpg,negative
KAM (29).png,positive
KAM(1312).jpg,positive
MAMN (1038).jpg,neutral
MAMN (339).jpg,neutral
KAM (744).jpg,positive
KAM(120).jpg,negative
MAMN (38).png,neutral
yellow (350).jpg,negative
KAM(560).jpg,positive
KAM(682).jpg,positive
kiwi (334).jpg,negative
KAM(22).png,positive
KAM(744).jpg,positive
peach (64).jpg,negative
grape (81).jpg,negative
MAMN (1558).jpg,neutral
avocados (671).jpg,negative
KAM(1115).jpg,positive
MAMN (735).jpg,neutral
MAMN (659).jpg,neutral
avocados (561).jpg,positive
KAM(924).jpg,positive
avocados (654).jpg,negative
MAMN (1247).jpg,neutral
KAM (243).jpg,positive
KAM(1068).jpg,positive
MAMN (1047).jpg,neutral
MAMN (581).jpg,neutral
KAM(1272).jpg,positive
MAMN (1116).jpg,neutral
osage (205).jpg,negative
papaya (80).jpg,negative
KAM(269).jpg,positive
osage (349).jpg,negative
MAMN (674).jpg,neutral
MAMN (1749).jpg,neutral
KAM(50).png,positive
kiwi (144).jpg,negative
avocados (247).jpg,positive
yellow (189).jpg,negative
MAMN (1897).jpg,neutral
MAMN (25).png,neutral
avocados (117).jpg,negative
kiwi (233).jpg,negative
kiwi (69).jpg,positive
avocados (657).jpg,neutral
KAM(679).jpg,positive
MAMN (1077).jpg,neutral
MAMN (1565).jpg,neutral
MAMN (1076).jpg,neutral
MAMN (575).jpg,neutral
KAM(244).png,positive
KAM(778).jpg,positive
kiwi (133).jpg,negative
osage (198).jpg,negative
KAM (332).jpg,negative
MAMN (856).jpg,neutral
MAMN (1640).jpg,neutral
MAMN (604).jpg,neutral
MAMN (1434).jpg,neutral
apple (229).jpg,negative
KAM (100).png,positive
KAM (300).jpg,positive
KAM(1195).jpg,positive
MAMN (753).jpg,neutral
violance (9).jpg,negative
osage (118).jpg,negative
KAM(106).jpg,negative
MAMN (1482).jpg,neutral
kiwi (10).jpg,negative
KAM(853).jpg,positive
avocados (665).jpg,neutral
osage (312).jpg,negative
